Point,Zone,Probe,DAS,Date,depth_5,depth_15,depth_25,depth_35,depth_45,depth_55,depth_65,depth_75,depth_85,Neutron_depth_5,Neutron_depth_15,Neutron_depth_25,Neutron_depth_35,Neutron_depth_45,Neutron_depth_55,Neutron_depth_65,Neutron_depth_75,Neutron_depth_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,20,3-Jan,47.25833425,48.44316741,47.32866733,49.00008867,48.63772185,48.41631693,49.44739719,49.51101959,49.85413027,43.1941175,44.27705501,43.25840194,44.78608104,44.45487777,44.25251367,45.19492103,45.25307191,45.56667507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,21,4-Jan,52.41248333,53.85205188,52.57785521,54.45917875,54.00752958,53.60092167,54.94613646,54.78891042,55.32134771,47.90500976,49.22077542,48.05615966,49.77568938,49.36288204,48.99124241,50.22076872,50.07706412,50.56371181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,22,5-Jan,52.02032813,53.82203479,52.54179792,54.46294729,54.00434208,53.61380938,54.97878104,54.62680188,55.24168563,47.54657991,49.1933398,48.0232033,49.77913382,49.35996866,49.00302177,50.25060587,49.92889692,50.49090067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,23,6-Jan,51.670545,53.77320125,52.48888875,54.47151167,54.01620667,53.62408958,54.99677542,54.54968146,55.20387125,47.22687813,49.14870594,47.97484432,49.78696167,49.3708129,49.01241788,50.26705273,49.85840885,50.45633832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,24,7-Jan,51.40847167,53.72836875,52.45501125,54.49514917,54.02647813,53.61196813,55.00610542,54.54105125,55.24013083,46.98734311,49.10772904,47.94388028,49.80856634,49.38020101,49.00133887,50.27558035,49.85052084,50.48947958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,25,8-Jan,50.8914644,53.6705934,52.4178518,54.4826986,54.0391026,53.621567,55.0123176,54.539249,55.2865418,46.51479846,49.05492237,47.90991655,49.79718652,49.39173978,49.01011224,50.28125829,49.84887359,50.53189921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,26,9-Jan,50.24675542,53.60943104,52.37902917,54.48315646,54.04383833,53.61902563,55.02276646,54.51594083,55.31217958,45.92553445,48.99901997,47.87443266,49.797605,49.39606823,49.00778943,50.29080854,49.82756992,50.55533214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,27,10-Jan,49.63098396,53.43239229,52.33539833,54.49429229,54.03622021,53.62669792,55.04376979,54.46918458,55.34208292,45.36271934,48.83720655,47.83455407,49.80778315,49.38910527,49.0148019,50.31000559,49.78483471,50.58266379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,28,11-Jan,48.27617271,53.33698667,52.31091521,54.4799025,54.01815625,53.60813146,55.04226875,54.45481542,55.36369833,44.12442186,48.75000582,47.8121765,49.79463089,49.37259481,48.99783215,50.30863364,49.77170129,50.60242027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,29,12-Jan,46.94834104,53.16021771,52.26732083,54.46928313,54.0275425,53.62531667,55.02976583,54.41307354,55.36957625,42.91078371,48.58843899,47.77233124,49.78492478,49.38117385,49.01353944,50.29720597,49.73354922,50.60779269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,30,13-Jan,46.03620125,53.01664021,52.2168675,54.44376896,54.01975021,53.61334917,55.039935,54.41977542,55.36179688,42.07708794,48.45720915,47.7262169,49.76160483,49.37405169,49.00260114,50.30650059,49.73967473,50.60068235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,31,14-Jan,45.26378896,52.95807417,52.160945,54.42681854,54.02842729,53.59386292,55.04660375,54.40388479,55.37303604,41.37110311,48.40367979,47.67510373,49.74611215,49.38198254,48.98479071,50.31259583,49.7251507,50.61095494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,32,15-Jan,44.39533938,52.93047521,52.03596458,54.40439708,54.02523854,53.58726625,55.02476854,54.4142225,55.38601063,40.57734019,48.37845434,47.56087163,49.72561893,49.37906803,48.97876135,50.29263845,49.73459937,50.62281372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,33,16-Jan,43.13607854,52.91273583,51.91354646,54.38694083,53.98894021,53.57024125,55.02326771,54.39986292,55.37528354,39.42637579,48.36224055,47.44898146,49.70966392,49.34589135,48.9632005,50.29126669,49.72147471,50.61300916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,34,17-Jan,41.5376574,52.8904188,51.8816792,54.3778466,53.9998316,53.55736,55.0273532,54.4044426,55.365696,37.96541886,48.34184278,47.41985479,49.70135179,49.35584608,48.95142704,50.29500082,49.72566054,50.60424614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
