Point	Zone	Probe	DAS	Date	depth_5	depth_15	depth_25	depth_35	depth_45	depth_55	depth_65	depth_75	depth_85	Sum_SWC_Raw.data	SWC_corrected	Precipitation
A1	A	1110	20	43833	47.25833425	48.44316741	47.32866733	36.43082667	48.63772185	48.41631693	36.55042533	49.51101959	49.85413027	412.4306096	338.6196627	0.4
A1	A	1110	21	43834	52.41248333	53.85205188	52.57785521	40.70492938	54.00752958	53.60092167	40.83552938	54.78891042	55.32134771	458.1015585	376.1576987	0
A1	A	1110	22	43835	52.02032813	53.82203479	52.54179792	40.70594292	54.00434208	53.61380938	40.84425042	54.62680188	55.24168563	457.4209931	375.5817998	0
A1	A	1110	23	43836	51.670545	53.77320125	52.48888875	40.70824729	54.01620667	53.62408958	40.84905813	54.54968146	55.20387125	456.8837894	375.1068966	0
A1	A	1110	24	43837	51.40847167	53.72836875	52.45501125	40.71460646	54.02647813	53.61196813	40.85154958	54.54105125	55.24013083	456.577636	374.8116351	0.2
A1	A	1110	25	43838	50.8914644	53.6705934	52.4178518	40.711258	54.0391026	53.621567	40.8532098	54.539249	55.2865418	456.0308378	374.2820366	0.2
A1	A	1110	26	43839	50.24675542	53.60943104	52.37902917	40.71138167	54.04383833	53.61902563	40.85599938	54.51594083	55.31217958	455.293581	373.5856875	0
A1	A	1110	27	43840	49.63098396	53.43239229	52.33539833	40.71437604	54.03622021	53.62669792	40.86160813	54.46918458	55.34208292	454.4489444	372.7930125	0
A1	A	1110	28	43841	48.27617271	53.33698667	52.31091521	40.71050604	54.01815625	53.60813146	40.8612075	54.45481542	55.36369833	452.9405896	371.3676811	0
A1	A	1110	29	43842	46.94834104	53.16021771	52.26732083	40.70764792	54.0275425	53.62531667	40.85786771	54.41307354	55.36957625	451.3769042	369.8969115	0
A1	A	1110	30	43843	46.03620125	53.01664021	52.2168675	40.70078104	54.01975021	53.61334917	40.86058333	54.41977542	55.36179688	450.245745	368.832484	0
A1	A	1110	31	43844	45.26378896	52.95807417	52.160945	40.69621729	54.02842729	53.59386292	40.86236333	54.40388479	55.37303604	449.3405998	367.9828419	0
A1	A	1110	32	43845	44.39533938	52.93047521	52.03596458	40.69017896	54.02523854	53.58726625	40.85653458	54.4142225	55.38601063	448.3212306	367.0253739	0
A1	A	1110	33	43846	43.13607854	52.91273583	51.91354646	40.68547625	53.98894021	53.57024125	40.85613271	54.39986292	55.37528354	446.8382977	365.6458525	0
A1	A	1110	34	43847	41.5376574	52.8904188	51.8816792	40.6830262	53.9998316	53.55736	40.8572248	54.4044426	55.365696	445.1773366	364.0756467	0
A1	A	1110	35	43848	45.12089146	52.91198833	51.87288354	40.68086833	53.96557021	53.54049479	40.85769229	54.42379521	55.379435	448.7536192	367.4655391	10.4
A1	A	1110	36	43849	51.58914875	53.11397667	51.88841604	40.68404813	53.92716917	53.52316979	40.85898167	54.39259063	55.40452167	455.3820225	373.7586338	0.2
A1	A	1110	37	43850	51.08285646	53.133875	51.90867	40.68810396	53.93070854	53.52792292	40.85502083	54.3958425	55.39639167	454.9193919	373.3180718	0
A1	A	1110	38	43851	49.51740608	52.06869431	50.87129882	39.86658039	52.86459294	52.46148941	40.03879843	53.29880647	54.30640431	445.2940712	365.3481425	0
A1	A	1110	39	43852	51.67239271	53.20595333	51.92984271	40.68460229	53.91230458	53.52148417	40.86405354	54.40599	55.40071604	455.5973394	373.9569738	6.8
A1	A	1110	40	43853	52.50238896	53.46584917	52.00025771	40.68690708	53.92734625	53.53712125	40.86436479	54.38914271	55.38393313	456.7573111	375.0552008	11
A1	A	1110	41	43854	52.78679542	53.78988708	52.39665708	40.75293583	54.02243646	53.61568458	40.88175792	54.42207438	55.35851792	458.0267467	376.1849557	9
A1	A	1110	42	43855	53.11686125	54.11042042	52.75367542	40.81251542	54.35369333	53.96819646	40.96694333	54.53281479	55.12451063	459.739631	377.7096013	19.6
A1	A	1110	43	43856	53.34319583	54.36777083	52.99320667	40.83907063	54.36701292	53.98774458	41.00368813	54.60759938	55.05000375	460.5592927	378.4501378	0.2
A1	A	1110	44	43857	53.25320188	54.42741625	53.07048917	40.84836313	54.36381375	54.01039646	41.00439854	54.63350229	55.06189354	460.673475	378.5361179	0.2
A1	A	1110	45	43858	53.21381104	54.35145229	53.06107396	40.85438979	54.36932354	54.01363313	41.00981708	54.65941417	55.07672229	460.6096373	378.4628242	0
A1	A	1110	46	43859	53.21013896	54.2958575	53.03700542	40.84983458	54.38781313	54.00669875	41.01288146	54.67957292	55.07775646	460.5575592	378.408851	0.2
A1	A	1110	47	43860	53.22514583	54.27091917	52.98071729	40.84564792	54.39155083	54.02457542	41.0156375	54.66421333	55.06534229	460.4837496	378.3503338	0.2
A1	A	1110	48	43861	53.22286958	54.23199313	52.92076417	40.83516021	54.38994896	54.04507729	41.01541583	54.69282208	55.09534438	460.4493956	378.3066885	0
A1	A	1110	49	43862	53.24462167	54.22953083	52.88748938	40.82153646	54.36683563	54.05078188	41.01332667	54.67842146	55.08620458	460.3787485	378.2536351	0
A1	A	1110	50	43863	53.20528938	54.26199833	52.888105	40.82024729	54.31547917	54.03875604	41.01221542	54.68264542	55.098965	460.323701	378.2042456	0.2
A1	A	1110	51	43864	53.08267729	54.25322708	52.88702729	40.81564438	54.2153125	54.04446125	41.00630813	54.6622925	55.09775792	460.0647083	377.9769796	0
A1	A	1110	52	43865	52.95107729	54.26907708	52.8964225	40.81067375	54.16810813	54.00977958	41.00022271	54.66229563	55.08396333	459.85162	377.7885324	0
A1	A	1110	53	43866	52.76965542	54.28216	52.9092075	40.80901813	54.12944292	54.00284625	40.9941825	54.65749458	55.10637938	459.6603867	377.6070196	0
A1	A	1110	54	43867	52.48994292	54.28954729	52.92384438	40.80892604	54.10621792	53.95678375	40.98716417	54.69454958	55.116555	459.373531	377.3289913	0
A1	A	1110	55	43868	52.12018938	54.27262104	52.91999208	40.80432354	54.10160958	53.87995458	40.97139021	54.70952917	55.16745208	458.9470617	376.9182174	0
A1	A	1110	56	43869	51.81453292	54.25076063	52.91552354	40.80280625	54.06563021	53.82349438	40.95743667	54.71048938	55.20231583	458.5429898	376.5379435	0.2
A1	A	1110	57	43870	51.51354354	54.19279	52.91167229	40.80239021	54.04224521	53.79812	40.95107854	54.70472854	55.23287708	458.1494454	376.1645854	0
A1	A	1110	58	43871	50.45165042	54.14947083	52.92415354	40.79355292	54.00274854	53.76722354	40.93863667	54.66440667	55.25861271	456.9504558	375.0407191	0
A1	A	1110	59	43872	48.94061438	54.04761917	52.90181729	40.79138917	53.98167792	53.76876021	40.93725833	54.67400354	55.23512229	455.2782623	373.4636345	0
A1	A	1110	60	43873	47.66528958	53.90432542	52.85576896	40.78825833	53.95424458	53.7369525	40.929345	54.6559625	55.25429458	453.7444415	372.0216306	0.2
A1	A	1110	61	43874	46.57492396	53.79296563	52.8025225	40.78650875	53.93407083	53.71421229	40.92161	54.61795771	55.28660146	452.4313731	370.7896324	0
A1	A	1110	62	43875	43.77551542	53.64448667	52.75561021	40.78660083	53.89851021	53.72466	40.91364896	54.60165625	55.27606271	449.3767513	367.9087826	0
